Tipo_Animal,Color,Hábitat,Dieta,Peso,Altura,Edad,Nombre,Fecha
arbeC,Negro,Selva,Herbívorox,59.63341827,2.539007162,8,x62_laminAx,2021-21-09
Gato,Gris,Desiertox,Herbívoro,126.7471126,,13.16739559,72_laminA,05-14-2021
Oveja,Amarillox,Sabanax,orovínmO,460.4574691,1.285338286,3,82_laminA,18/06/2021
Tortuga,sirG,otreiseD,Carnívoro,,,24,Animal_29,05-2023-03
orreP,Blanco,Lago,Omnívoro,267.2066242,0.193947263,,Animal_30,27/11/2024
Lobo,ojoR,Bosquex,Carnívoro,298.6004062,3.885239446,43,Animal_31,11/05/2021
Burro,olliramA,Selva,orovínmO,,0.937629978,29,Animal_32,12-27-2024
Delfínx,Rojo,Desiertox,Carnívoro,403.7464031,,72.86833689,Animal_33,2020/18/08
Cabra,edreV,Selva,Herbívoro,262.1198384,3.303123595,51,Animal_34,04/06/2024
Lobo,Rojo,Selva,orovínmO,59.25720348,3.892287031,42,x53_laminA,15/05/2023
Caballo,Negro,Sabana,Herbívoro,65.40349729,,31.40934753,63_laminA,12-24-2020
Canguro,Blanco,Sabana,Herbívoro,268.8927141,2.518194995,63.13184832,73_laminA,09-27-2023
Vaca,Verde,euqsoB,Omnívoro,,1.106304105,26,Animal_38,26/10/2020
Vaca,Gris,Montaña,orovínmO,155.1708382,3.712415619,18,Animal_39,15/01/2021
Cocodrilo,Amarillo,Lago,Carnívoro,434.9010433,,82,Animal_40,23/12/2022
Oveja,orgeN,Río,Carnívorox,382.2836977,1.306726597,57.28629822,Animal_41xx,08/02/2020
Oveja,Blancox,Selva,Herbívoro,124.658409,4.526698004,7,Animal_42,05-27-2020
Koala,Verde,añatnoMx,orovínraC,,0.611420145,,34_laminA,08/05/2024
Panda,Verde,Río,Carnívoro,51.82178531,,77.40362847,Animal_44,10/02/2024
Cerdo,Negro,Río,Omnívoro,364.3389412,3.346094929,60,54_laminA,08/07/2024
Cerdo,luzA,Lago,Carnívoro,,5.105564529,31.55389727,Animal_46,Invalid Date
adnaP,Gris,Bosque,Herbívorox,186.2641893,4.699874453,3,Animal_47,06-16-2020
Cerdo,Negro,Río,Carnívoro,,3.639324725,4,Animal_48x,01/07/2023
Águila,edreV,ogaL,Herbívoro,363.0086161,1.033239285,4,Animal_49,17/11/2022
Lobo,Marrón,Ríox,Omnívoro,,2.266565077,42,Animal_50xx,29/08/2020
xanellaB,Blanco,Selvax,Herbívoro,,0.450364819,9,Animal_51,18/08/2024
Serpiente,Negrox,Selva,orovínraC,241.5756938,2.009321369,51,25_laminA,12/12/2022
Caballo,Azul,Océanox,Omnívoro,270.8727049,3.733854797,17,Animal_53x,22/09/2021
Elefantexx,Verde,añatnoMx,orovínraC,409.3619601,1.99357242,,Animal_54,17/05/2020
León,xsirG,Desierto,Omnívoro,,,97.17041029,Animal_55,11/07/2020
Águila,Rojo,Lagox,Omnívoro,,3.01724304,20,Animal_56,08/04/2023
Jirafax,Verdex,Sabana,Carnívorox,346.7463354,4.373802192,14,Animal_57,20/06/2021
Tortuga,Gris,Lago,xxorovínraC,277.6687508,0.333157643,21.75797013,Animal_58,03/01/2024
Hipopótamo,orgeN,Desiertox,Omnívoroxx,350.0644073,1.98880513,51.77451333,Animal_59,02/08/2020
Jirafa,Gris,Montaña,Omnívoro,206.5968517,0.875379635,27,Animal_60,11/10/2023
Pingüino,Amarillo,Sabana,Carnívoro,70.0603954,3.507235829,43,Animal_61x,06/06/2024
ergiTx,Amarillo,Desierto,Herbívoro,,,2.996438814,Animal_62,05/11/2023
Caballo,Amarillo,onaécO,orovínraC,,3.357558017,,Animal_63x,01-2022-04
Oveja,Azul,Sabana,Omnívoro,320.0480255,1.502286267,94,Animal_64,08/08/2023
Conejox,luzA,Selva,Carnívorox,,,,Animal_65,07-20-2023
Pingüino,Marrón,Desierto,Herbívorox,,4.688127533,86,Animal_66,16/06/2020
Burro,Azul,Lago,Carnívoro,294.0975644,1.223002055,89,76_laminA,08/08/2020
Hipopótamo,Rojo,Sabana,orovínmO,43.61583966,2.245108632,10,Animal_68x,03/01/2023
Burro,Negro,Océano,Carnívoro,225.4521914,-0.391977082,29,Animal_69,07/02/2022
Tortugax,Verde,Lagox,Omnívorox,378.4216713,3.102112912,,Animal_70,25/01/2024
otaG,Verde,oíR,Omnívorox,395.8950164,2.555132151,,Animal_71,28/02/2021
Serpiente,Marrónxx,Sabana,Carnívorox,247.8039293,1.67614611,21,27_laminA,09/11/2023
Ovejax,Azulx,Sabanax,orovínmO,,0.74759271,26.75772595,Animal_73,17/12/2024
Panda,Rojo,Océano,Omnívoro,134.5665502,1.944298935,73,Animal_74,05/10/2022
Oveja,Gris,oíR,Herbívoro,,,60,Animal_75x,09/01/2021
afariJ,Marrón,Desierto,orovíbreHx,,,26,Animal_76,13/06/2021
Lobo,Rojo,Bosque,Herbívorox,,2.700677952,9,Animal_77,26/11/2024
arbaC,Grisx,Desierto,Herbívoro,343.1706716,2.990188533,,Animal_78,15/10/2023
Rinoceronte,ojoR,Río,Omnívoro,429.631293,0.598344254,,x97_laminA,06-16-2020
Panda,sirG,Montaña,Carnívoro,,,98.74621392,Animal_80x,29/07/2023
Elefante,Blanco,Lago,Omnívorox,432.6324931,0.893288489,36,Animal_81x,31/05/2024
Conejo,Rojo,onaécO,orovínmOx,160.9893334,1.321547215,36,Animal_82,18/03/2022
Canguro,Verde,xotreiseD,Omnívoro,90.09737324,1.201945223,73,Animal_83,24/02/2024
Tigrex,olliramA,Sabana,Carnívorox,120.4455483,,22,Animal_84,05/09/2022
Pingüino,Azul,Océano,Herbívoro,209.5662855,4.487044058,,Animal_85,29/08/2021
Rinoceronte,Gris,avleS,orovínmO,126.3448103,4.304033462,69,Animal_86x,09-22-2021
Tigre,Blanco,oíR,Omnívoro,160.9632254,1.96534599,73,Animal_87x,26/11/2024
Gato,ojoRx,Lago,Herbívoroxx,,,37,Animal_88,14/06/2023
Cerdo,Verdexx,Desierto,Omnívorox,148.792206,4.104570418,83,Animal_89,04-23-2020
Cebra,Amarillo,Océano,orovínraC,286.1642259,2.845183173,72,Animal_90,30/05/2023
Delfínx,sirG,Lago,Omnívorox,221.4850003,,,19_laminA,24/08/2021
olirdocoC,ojoR,Desiertox,Omnívoro,,1.386496127,13,Animal_92,05/2020/05
Tigrex,Rojox,Océano,Herbívoro,374.1319857,,84,Animal_93,04-2024-06
Delfín,Gris,Sabana,Omnívoro,446.8614757,1.59667671,43,49_laminAx,02/01/2020
Cabra,nórraMx,xavleS,orovínmO,380.9616113,3.748558027,,Animal_95,19/04/2022
Pingüino,Marrón,Selva,Carnívoro,166.6683504,0.33283701,94,Animal_96,04/12/2023
Burro,Verde,Montaña,Herbívoro,372.4766418,,,Animal_97,04/11/2023
oboL,olliramA,Océano,Herbívoro,76.83811105,,95,Animal_98,11/12/2023
Gato,sirG,Desierto,Carnívoro,66.02867606,3.934992658,25,Animal_99x,01/02/2020
Cocodrilox,Verdex,Selva,orovínmO,,2.331060209,,Animal_100,2020-22-08
Cerdoxx,Verde,Río,Herbívoro,404.8317621,3.520564259,88,Animal_101,08/01/2021
ergiTx,orgeN,Selvax,orovíbreH,,,21.2214106,201_laminAx,07/04/2020
xojenoC,ojoR,Bosque,Omnívoro,32.56345104,2.169859337,41,Animal_103,07/03/2024
Koala,Azul,Bosque,Omnívoro,66.72305807,,73,Animal_104,21/06/2022
Panda,ojoRx,Selva,Herbívoro,429.5137393,2.941842319,,501_laminAx,05/06/2020
Rinoceronte,nórraMx,xonaécO,Omnívoro,,,,601_laminA,03/06/2024
Conejo,olliramA,xañatnoM,Herbívorox,127.3473805,0.436879665,2,Animal_107,23/02/2023
Ballena,Rojox,Selva,orovínmO,277.615332,2.58623106,68,Animal_108,21/08/2021
ajevO,sirG,anabaS,Omnívoro,262.579137,,,Animal_109x,15/07/2020
xollabaC,Verdex,ogaL,Carnívorox,328.0625532,,96,011_laminA,18/01/2020
Cerdox,sirGx,Desierto,Omnívoro,117.3605897,1.591535046,,Animal_111,02/06/2021
Rinoceronte,Negro,añatnoM,Carnívoro,432.3370906,1.633824238,14,Animal_112,13/10/2022
Tortugaxx,Amarillo,Sabana,orovínmO,155.8896183,4.117353923,77,Animal_113,15/01/2022
Koala,Verdex,añatnoM,Herbívoro,347.3716953,2.814314496,21.00629749,411_laminA,13/07/2024
orroZ,Gris,anabaS,Herbívoro,11.04659702,2.307854215,24,511_laminA,16/06/2020
oniügniP,xxnórraM,Desierto,Omnívoro,186.9559078,1.499072851,50.32268998,Animal_116,24/06/2020
Pandax,Azulx,Desierto,Omnívoro,176.5031992,1.560408362,82,Animal_117xx,Invalid Date
Tortuga,Negro,Bosque,Herbívoro,272.1987299,,,Animal_118,16/01/2021
Tiburónxx,Amarillo,Océanox,Omnívoro,37.29539463,4.194296479,64,Animal_119,05/02/2020
Burro,Negro,anabaS,Carnívorox,395.2755555,,64,Animal_120,12/10/2022
Caballo,Marrón,Lago,Carnívoroxx,109.6726201,2.249411369,,Animal_121,24/05/2024
Oveja,Amarillo,Bosque,Carnívoro,340.5531701,2.02742891,,Animal_122xxx,10/07/2023
Ovejax,Negro,anabaS,Carnívoro,401.8028495,4.248098802,57,Animal_123x,12/05/2020
Oveja,ocnalBx,Bosque,Carnívoro,282.9791584,1.445663664,53,Animal_124x,31/08/2023
Zorroxx,Marrón,Desiertoxx,Omnívoro,,2.804889044,33.09867993,521_laminAx,13/11/2024
Hipopótamo,Marrón,Montaña,Omnívoro,331.2682958,,52.19089274,Animal_126,23/04/2020
arbaC,Marrónx,oíR,Carnívoro,178.4093688,,95,721_laminA,01/05/2020
Panda,Blanco,Bosque,xorovínmO,404.620411,,,Animal_128x,05-15-2023
orroZ,ocnalB,Sabana,orovínmO,147.9136944,4.064269296,35,Animal_129,25/09/2023
Perro,Gris,Sabana,Carnívoro,286.035246,3.925590377,,Animal_130,12/06/2022
Caballo,Verde,xoíR,orovínmO,372.9534718,1.07750116,51,Animal_131x,12/10/2024
Jirafa,Azul,onaécOx,orovínmO,190.098999,3.606614198,87.42108843,231_laminAx,04-25-2020
Hipopótamoxx,Negrox,Lago,Omnívoro,152.0810362,4.020266599,,Animal_133,04/12/2022
Tiburón,Gris,otreiseDx,Carnívoro,,1.79592548,10,Animal_134,09/04/2021
Perro,Negro,Sabana,Omnívorox,407.7960536,0.945784653,52.59676758,Animal_135x,03/05/2021
Lobo,Azul,Selva,Herbívoro,465.0309598,0.112897562,34,Animal_136x,12/12/2024
Rinoceronte,Verde,Montañax,Herbívoro,272.996623,2.3094279,67,Animal_137x,11-21-2024
Tiburón,Blanco,euqsoB,Carnívorox,330.6540704,1.826920385,39,Animal_138,08/02/2024
Oso,Verde,Océano,Herbívoro,451.7335375,,8,Animal_139,26/07/2024
aliugÁx,Blanco,Lago,Carnívoro,50.17487886,,95.91938364,Animal_140x,12/03/2020
Canguro,Azulx,Río,Herbívoro,116.8072104,4.421943434,29,Animal_141x,02/01/2020
etnoreconiR,Verdex,Montaña,Herbívoro,,1.363000557,,241_laminA,15/09/2024
etnafelE,Gris,Desierto,Herbívoro,412.3623398,1.209505065,84,Animal_143x,28/10/2020
Elefante,olliramA,Océano,Carnívoro,,1.313116852,,Animal_144,03/11/2023
Perrox,Gris,Lago,Carnívorox,206.6541548,1.315331314,61,541_laminA,19/04/2020
Vaca,Negro,Bosque,orovínmO,45.58061124,1.153917621,43,641_laminA,24/11/2023
León,Gris,Bosque,Carnívoro,,1.432117561,49,Animal_147,06/08/2023
Cocodrilo,Azulx,oíR,Herbívoro,116.1365605,0.931555672,29,Animal_148,06/09/2023
Jirafax,Marrón,Selva,orovíbreH,145.1152758,3.620454874,81,Animal_149,14/12/2024
Burro,Negro,Río,Carnívoro,,3.873436253,31,051_laminAx,25/02/2021
xomatópopiH,Verde,Desierto,Carnívorox,38.68801593,2.365409638,52.96798642,Animal_151,09/07/2020
Oveja,Negrox,Océano,Carnívoro,413.9630275,3.599026411,34,251_laminA,12/01/2022
Jirafax,Amarillo,Océano,Omnívorox,214.4068738,,38,Animal_153,30/07/2020
Hipopótamo,ocnalB,Sabanaxx,Herbívoro,,0.777550086,57,Animal_154x,03/12/2024
Rinoceronte,Verde,avleS,Omnívoro,45.73646339,4.834272322,4,Animal_155,22/10/2020
Lobo,Rojo,Selva,orovínmO,170.9448359,,,651_laminA,04/02/2023
Gato,Negro,Océanoxx,Herbívoro,45.76075859,1.10196896,12,Animal_157,12-30-2022
Perro,Verde,Océanox,orovíbreH,480.8103177,1.012208675,35,Animal_158,21/04/2020
Koala,Verdex,añatnoM,orovínraC,403.823563,0.715739613,70,951_laminA,11/06/2020
Ballena,Verde,Lago,Carnívoro,,,72,Animal_160,03-17-2024
Ballenaxx,xocnalBx,Montañax,Omnívorox,113.1267342,,21,Animal_161,08/07/2022
Cerdo,Rojo,Montaña,Carnívoro,467.9097524,3.598985084,61,261_laminA,21/12/2022
Tiburón,Azulx,Selva,Carnívoro,172.9537013,3.936377446,35,Animal_163,01/04/2021
nóeL,Grisx,Sabana,orovíbreH,80.75699425,,48,Animal_164,11-26-2022
Elefante,Verde,Bosque,Herbívorox,282.0190298,,15,Animal_165x,17/01/2021
Lobo,nórraM,Montaña,Carnívoro,471.1942144,3.463196372,71,Animal_166,26/12/2023
etnoreconiRx,Azul,Sabana,Herbívoro,2.91131496,0.189943049,,Animal_167,08/02/2023
Delfínx,Amarillox,Ríox,Carnívoro,,,,x861_laminA,06/12/2020
Vacax,ocnalB,Desierto,Herbívorox,469.2853726,3.225328678,80.44307072,Animal_169,01/09/2021
Elefante,orgeN,Montaña,Herbívoro,86.37189746,0.145790272,67.00386684,071_laminA,12/10/2024
Perro,Blanco,Río,Herbívoro,57.50848237,0.261587024,22,Animal_171,14/10/2023
Elefante,orgeN,Bosquex,Herbívoro,285.5234207,4.274251114,32,Animal_172,09-23-2021
Leónx,Blanco,Desierto,Carnívoro,431.0600678,3.451721822,22,Animal_173x,18/08/2021
Panda,orgeN,Desierto,Omnívoro,238.3782678,1.400311692,27,Animal_174,11/04/2020
ojenoCx,edreV,Bosque,Herbívorox,496.7532916,3.471017917,15,Animal_175,29/05/2023
Elefante,Gris,Montaña,orovínraC,339.9066781,,44,Animal_176,18/11/2021
Perro,Negro,Selva,orovínraC,37.9633787,,86,Animal_177,05/2024/23
nóeL,Rojox,xeuqsoB,Herbívorox,496.4232337,0.27658315,,Animal_178,22/03/2021
orruB,Negrox,euqsoB,Omnívorox,204.5392242,4.670617711,9,Animal_179xx,04/07/2020
Ballena,Marrón,Bosque,Herbívoro,143.4263078,1.791381208,34,081_laminA,04/06/2021
Conejo,Negro,Desierto,Carnívoro,279.3817126,0.62176064,,Animal_181,01/22/2022
afariJ,Marrónx,Lago,xorovínmO,152.8494883,2.51009867,15,Animal_182,08/05/2023
Vaca,Amarillo,Sabana,Carnívoro,44.14229605,3.865492199,62,Animal_183,16/08/2024
Hipopótamo,Verde,oíR,orovíbreH,1.712743197,1.186071842,,Animal_184,24/08/2020
Pandax,nórraM,Selva,Omnívorox,225.6658033,1.420501246,,581_laminA,04-24-2023
Panda,Gris,Montañax,Carnívoro,418.5948477,1.289303435,72,681_laminA,10/06/2023
Burro,Azulx,Montaña,Carnívoro,286.5852776,,,Animal_187,05/03/2024
Cocodrilox,Verdexx,Río,Carnívoro,,3.262563359,92,Animal_188,21/12/2024
Oveja,Marrón,Sabana,Herbívoro,144.1364762,2.920049063,19,Animal_189x,17/09/2021
Zorrox,xedreV,Bosque,Omnívoro,,4.633796744,16,Animal_190x,17/06/2024
Águila,Rojo,Lago,Herbívoro,80.71498066,0.819793188,,Animal_191,05/10/2020
Jirafa,edreV,Selva,orovíbreH,,4.85718557,8.442436913,Animal_192,12/04/2022
orugnaC,Verde,Montaña,Herbívorox,143.3081114,4.742638449,33,Animal_193,15/10/2024
Serpiente,Amarillo,Río,Omnívoro,397.4346018,4.434402737,74,Animal_194x,12-16-2024
Cabrax,sirG,onaécO,Herbívorox,452.9726385,1.151326955,,Animal_195,06/03/2021
Tigre,Blanco,Lago,Herbívoro,487.5684977,3.206869774,35,Animal_196,26/05/2024
Cerdox,Blanco,oíR,Herbívoro,,3.828368218,43,791_laminA,18/08/2021
nóeL,Marrón,Lagoxx,Herbívoro,440.7674753,4.931536848,,Animal_198,26-2021-12
Ballena,edreV,Montaña,Carnívoro,,0.984076728,3,Animal_199,24/04/2022
Jirafax,Marrón,Bosquex,Herbívoro,57.30743171,3.695312097,91,Animal_200,28/08/2022
Zorroxx,olliramA,Océanox,Carnívoro,435.1424378,,59,Animal_201x,20-2023-01
Panda,olliramA,Sabanax,Herbívoro,,0.960569681,28,202_laminA,14/06/2021
Oso,Negro,avleSxx,Omnívoro,,,46,Animal_203,25/04/2023
Cabra,Rojo,Sabana,orovínraCx,215.4857975,3.98979597,,Animal_204,10/10/2021
Tigre,Amarillo,Sabana,Carnívoroxx,144.3415897,2.507657847,69.40415743,Animal_205,19/08/2023
Zorroxxx,Negrox,Río,orovínraC,368.6604898,2.733863191,47,Animal_206,06/23/2024
Jirafa,Gris,Lago,orovínraC,225.3362657,4.97628111,14,702_laminA,18/05/2020
Vacax,Marrón,Selvax,Omnívorox,495.2102572,,7,Animal_208,16/06/2021
Águila,luzA,Selva,Herbívorox,,3.115463698,74,Animal_209,03/08/2023
Delfínx,Gris,Montaña,Carnívoro,178.1526178,1.889696588,80.56764975,Animal_210,02-13-2021
ajevO,Amarillo,Montaña,Omnívorox,241.4681834,,31,Animal_211,01-14-2020
Gato,Gris,Selva,Carnívoro,252.0636438,3.508639692,93,Animal_212,10/03/2022
xolirdocoC,Gris,Océanox,Herbívoro,158.6519754,4.695646183,,Animal_213x,20/01/2024
Zorro,Rojox,Desierto,Carnívorox,364.8908843,,51,Animal_214,07-2023-01
Cerdo,Rojo,añatnoMx,Omnívorox,,3.865159652,29,Animal_215,22/05/2023
Caballo,Rojo,Desierto,orovíbreH,469.4209317,0.537112138,15,Animal_216,21/01/2023
Tortuga,Grisx,Río,orovínmO,402.741595,1.134674383,90,Animal_217,25/06/2022
xarbeC,Amarillox,Océano,orovíbreH,425.9872246,2.560445041,76,Animal_218x,07/09/2020
ajevO,Azul,Selva,orovíbreH,275.722105,,26.17116966,Animal_219,12-20-2021
ajevOx,edreV,onaécO,Herbívorox,413.118225,1.338989396,61,Animal_220,10/01/2021
Lobo,Gris,Montaña,orovínraCx,152.4484507,2.285446213,41,Animal_221x,12-13-2023
Lobo,Negro,Sabana,Omnívoro,199.8409023,,69.81203507,Animal_222x,15/04/2023
Serpientex,Amarillo,Río,Omnívoro,159.1395939,0.58435969,4.18307011,Animal_223,11/02/2021
Cerdo,Gris,Selvaxx,Omnívoro,234.3528773,,57,Animal_224x,24/09/2022
Cerdo,luzA,Bosque,Herbívoro,143.5042285,2.908431315,31,Animal_225,03/02/2023
osO,Verde,Río,Carnívoro,480.8441097,,3,Animal_226x,01/01/2020
Burro,Rojo,Lagox,Herbívoro,157.2602683,,,Animal_227,01/07/2024
anellaB,Amarillo,Desierto,Omnívoro,,2.132205432,89.2150964,Animal_228,Invalid Date
Oveja,Blanco,xonaécO,Carnívoro,263.8817659,4.658720768,,Animal_229x,24/08/2020
Caballo,Verde,Selva,xorovínraC,29.49244014,3.945926619,18.26110628,Animal_230x,25/05/2023
afariJx,orgeN,Río,Carnívoro,,1.446091433,60,Animal_231x,11/08/2023
odreC,Grisx,Océano,orovínmO,,0.741127571,,Animal_232,14/06/2020
Perrox,Azul,Selvax,orovínraC,232.7107747,3.411477015,65.44936508,332_laminA,25/04/2024
Perro,Blanco,Montaña,Carnívoro,,,88,Animal_234,14/01/2022
Caballo,Azul,Río,Herbívoro,,3.969400708,75,Animal_235,18/12/2024
Vaca,Blanco,Montaña,Herbívoro,369.9978523,,24,Animal_236x,02-20-2020
Cerdo,Amarillo,Río,orovínraC,213.7328287,3.163536516,99,Animal_237,20-2024-08
Caballo,Blancox,añatnoMx,Carnívoro,,5.230012404,87,Animal_238x,08/09/2020
etneipreSx,orgeN,Lago,orovíbreHx,158.9179232,2.714589678,32,Animal_239,01/23/2022
Zorrox,Negro,onaécO,orovíbreH,387.2235486,,88.13583145,Animal_240,19/12/2023
Hipopótamo,Marrón,Bosque,Herbívoro,26.9841307,4.158540468,,Animal_241,02/06/2024
Elefante,orgeN,Río,Omnívorox,7.398003106,,18.39070061,Animal_242,05/01/2024
Jirafa,Verde,Lago,Omnívoro,397.9766516,,66,Animal_243x,26/09/2022
arbeCx,ocnalB,oíR,Herbívoro,239.0960416,4.78982477,,Animal_244,09-14-2020
Rinoceronte,Negro,añatnoM,Carnívoro,,3.514298018,67.74569552,542_laminA,03/07/2021
acaV,Amarillo,Selva,orovíbreH,118.5474014,3.020547789,,Animal_246,06-21-2020
omatópopiHx,Azul,Río,Omnívorox,467.1392585,3.809780736,85,Animal_247,27/03/2023
Cerdo,Rojo,Lago,orovínraC,429.8919848,1.885608343,,Animal_248,24/01/2020
León,Azul,añatnoMx,orovínmO,355.1827401,1.82972328,67.74770187,Animal_249,17/03/2024
Perro,Marrón,Sabana,Carnívoro,241.6303899,3.218226258,,Animal_250,20/10/2024
Águilax,Azul,Montaña,Omnívoro,260.4118038,3.781238273,88,Animal_251x,24/12/2022
Cocodrilo,ocnalBx,Océano,Carnívoro,486.6615229,3.42473364,7,Animal_252,29/10/2021
oboLx,Marrón,Bosque,Carnívoro,482.9194515,1.072209496,5.306428754,Animal_253x,28/09/2021
Tiburónx,Blancoxx,Sabana,Carnívoro,108.4192538,2.520537183,33,Animal_254,05-21-2024
Panda,Amarillo,Océano,Carnívorox,405.7411786,3.979036354,57.98793776,Animal_255,17/01/2023
Vacaxx,Marrón,Océano,orovínmO,,2.430949983,49,652_laminA,27/01/2021
Delfín,xsirGx,Océano,Omnívoro,107.5552015,2.729454071,17,Animal_257x,11/07/2024
Tiburón,Verde,Selva,orovínraC,338.370424,3.878566636,,852_laminA,02-19-2021
Hipopótamo,Verde,Océanox,Carnívoro,203.4247104,3.340200001,94,Animal_259x,30/03/2022
Serpientex,Blancox,Selva,Omnívoroxx,466.2700088,2.105790112,72,062_laminA,14/05/2021
Cangurox,luzA,Océano,Carnívorox,45.41585771,5.369203744,,Animal_261,11-13-2024
Cerdox,Rojo,otreiseD,Carnívoro,257.3102108,,46,Animal_262,20/07/2023
Canguro,Rojox,Lagox,Carnívoro,459.3422437,4.978030598,71,Animal_263,03/04/2022
Burro,sirG,Sabanax,Herbívoro,452.1527166,-1.247132055,70,462_laminAx,06/07/2022
Serpiente,Marrón,Desierto,Carnívoro,79.10807749,,68.55239338,x562_laminA,08/10/2023
Lobo,Gris,Océano,Herbívoro,,4.461092616,1,Animal_266,04/10/2020
Cerdo,sirG,anabaS,Carnívorox,311.3376062,1.300272191,79,Animal_267,03-24-2021
Jirafa,xluzA,Sabanax,Omnívoro,80.5380475,3.675528174,95,Animal_268xx,15/10/2022
otaG,Rojo,oíRx,Herbívoro,484.7710965,,89,Animal_269,27/12/2022
Elefante,Marrón,Bosque,orovíbreHx,457.459915,,98.48362574,Animal_270,22/11/2021
orugnaC,Amarillo,Desierto,orovínraC,84.30813934,4.958811755,52,Animal_271,13/01/2021
nóeL,Azulx,Bosque,Carnívoro,,2.892125126,35,272_laminA,05-2021-05
Canguro,Gris,Sabana,Herbívoro,43.26258654,,69,Animal_273,01/09/2020
Tiburón,Gris,Selva,orovínmO,455.6995142,,6.028868315,Animal_274,Invalid Date
Canguro,Amarillo,Sabana,Omnívoro,98.16046006,,17.97648651,Animal_275,04-16-2022
acaV,Gris,Bosquex,Carnívoro,,4.255061297,53,Animal_276,26/02/2023
Canguro,xxsirG,Desiertox,Omnívoro,224.9768315,1.685340961,52,Animal_277,2023-29-10
Gato,Grisx,Océano,Omnívorox,299.9065111,1.460287688,14,Animal_278,01/11/2021
Gato,Verdex,Río,Carnívoro,,2.021939192,29,Animal_279,23/04/2020
Ovejax,luzA,oíR,Omnívoro,114.1525501,,8,Animal_280xx,21/09/2024
Delfín,Negro,Río,Carnívoro,465.8137031,4.867182508,,Animal_281,01-19-2020
Ballena,Azul,onaécO,Herbívoro,454.2966435,0.37310408,1,282_laminA,22/03/2024
León,Amarillo,Río,Carnívoro,388.3732813,2.912411436,28.50158568,Animal_283,30/2024/10
orreP,Gris,otreiseD,Herbívoro,11.41575078,4.328841018,36,Animal_284,14/09/2022
Perro,Azul,Océano,Herbívoro,164.1763775,2.458775288,51,Animal_285,08/04/2021
Águila,Verde,Río,Omnívorox,314.3514089,0.484783211,37,682_laminA,02/03/2024
odreC,Rojox,Océanox,Omnívoro,138.3199157,2.846642827,93,Animal_287x,01-21-2023
Gato,Amarillo,Bosque,Omnívoro,454.8837608,,69,Animal_288,07/02/2020
Tortuga,Blancox,Lago,orovínraC,317.3108415,0.859214748,53,982_laminA,03/01/2023
Lobox,luzA,Lago,Omnívoro,37.64059114,4.260269115,,Animal_290xx,15/12/2024
Burro,ocnalB,Desierto,Herbívorox,454.5937888,,,Animal_291,02/12/2024
arbeC,Gris,Montañax,orovínmO,,,,Animal_292x,09/10/2024
